Town,Neighborhood,tract
,,3301
,,4001
,,4002
,,4003
Bristol,,4051
Bristol,,4052
Bristol,,4053
Bristol,,4054.01
Bristol,,4054.02
Bristol,,4055
Bristol,,4056
Bristol,,4057
Bristol,,4058
Bristol,,4059
Bristol,,4060.01
Bristol,,4060.02
Bristol,,4061
,,4101.01
,,4101.02
New Britain,,4153
New Britain,,4154
New Britain,,4155
New Britain,,4156
New Britain,,4157
New Britain,,4158
New Britain,,4159
New Britain,,4160
New Britain,,4161
New Britain,,4162
New Britain,,4163
New Britain,,4164
New Britain,,4165
New Britain,,4166
New Britain,,4167
New Britain,,4168
New Britain,,4171
New Britain,,4172
New Britain,,4173
New Britain,,4174
New Britain,,4175
,,4204
,,4205
,,4206
,,4207
,,4301
,,4302.01
,,4302.02
,,4302.03
,,4303.01
,,4303.02
,,4304
,,4305
,,4306.01
,,4306.02
,,4601
,,4602.02
,,4602.03
,,4602.04
,,4603.01
,,4603.02
,,4621.01
,,4621.02
,,4622.01
,,4622.02
,,4641.01
,,4641.02
,,4661.01
,,4661.02
,,4662.01
,,4662.02
,,4663
,,4664
,,4681.01
,,4681.02
,,4701
,,4711
,,4712
,,4713
,,4714
,,4715
,,4731
,,4734
,,4735.01
,,4735.02
,,4736.01
,,4736.02
,,4737
,,4738
,,4761
,,4762
,,4763
,,4771.01
,,4771.02
,,4772
,,4803
,,4804
,,4805
,,4806
,,4807
,,4808
,,4809
,,4810
,,4811
,,4812
,,4813
,,4841
,,4842
,,4871
,,4872.01
,,4872.02
,,4873
,,4874
,,4875
,,4901
,,4903.02
,,4921
,,4922
,,4923
,,4924
,,4925
,,4926
,,4941
,,4942.01
,,4942.02
,,4943
,,4944
,,4945
,,4946
,,4961
,,4962
,,4963
,,4964
,,4965
,,4966
,,4967
,,4968
,,4969
,,4970
,,4971
,,4972
,,4973
,,4974
,,4975
,,4976
,,4977
Hartford,Barry Square,5001
Hartford,Barry Square,5002
Hartford,South Green,5003
Hartford,Sheldon Charter Oak,5004
Hartford,Sheldon Charter Oak,5005
Hartford,North Meadows,5007
Hartford,Clay Arsenal,5009
Hartford,Northeast,5010
Hartford,Northeast,5011
Hartford,Northeast,5012
Hartford,Northeast,5013
Hartford,Upper Albany,5014
Hartford,Northeast,5015
Hartford,Clay Arsenal,5017
Hartford,Clay Arsenal,5018
Hartford,Downtown,5021
Hartford,South End,5023
Hartford,South End,5024
Hartford,South End,5025
Hartford,Barry Square,5026
Hartford,Barry Square,5027
Hartford,Frog Hollow,5028
Hartford,Frog Hollow,5029
Hartford,Frog Hollow,5030
Hartford,Asylum Hill,5031
Hartford,Asylum Hill,5032
Hartford,Asylum Hill,5033
Hartford,Asylum Hill,5034
Hartford,Upper Albany,5035
Hartford,West End,5036
Hartford,Upper Albany,5037
Hartford,Blue Hills,5038
Hartford,Blue Hills,5039
Hartford,Blue Hills,5040
Hartford,Parkville,5041
Hartford,West End,5042
Hartford,Parkville,5043
Hartford,West End,5044
Hartford,Behind the Rocks,5045
Hartford,Behind the Rocks,5046
Hartford,Southwest,5047
Hartford,Southwest,5048
Hartford,Behind the Rocks,5049
East Hartford,,5101
East Hartford,,5102
East Hartford,,5103
East Hartford,,5104
East Hartford,,5105
East Hartford,,5106
East Hartford,,5107
East Hartford,,5108
East Hartford,,5109
East Hartford,,5110
East Hartford,,5111
East Hartford,,5112
East Hartford,,5113
East Hartford,,5114
,,5141.01
,,5141.02
,,5142
,,5143
,,5144
,,5145
,,5146
,,5147
,,5148
,,5149
,,5150
,,5151.01
,,5151.02
,,5152
,,5201
,,5202.01
,,5202.02
,,5203.01
,,5203.02
,,5204
,,5205.01
,,5241
,,5242
,,5243
,,5244
,,5245.01
,,5245.02
,,5246
,,5247
,,5261.01
,,5261.02
,,5281
,,5291
,,5301
,,5302
,,5303.01
,,5303.02
,,5304
,,5305
,,5306
,,5331.01
,,5331.02
,,5351
,,5352
,,5381
,,5382.01
,,5382.02
,,8401
,,8501
,,8502
,,8601
,,8811
,,8812
,,8813
,,8815
,,8901
,,8902.01
,,8902.02
,,9800
